100;5042;7480;6170;6292;2481;4867;469;3627;5671;1446;1739;2684;1130;1327;
200;19176;24917;23640;22373;11565;18885;792;5437;12230;3289;3648;5702;2709;9053;
300;43692;64717;51590;49529;23560;52436;1170;7612;19373;5316;5503;10159;4469;4996;
400;81881;106518;93899;89441;49278;79645;1581;9194;24297;4887;8095;15668;6057;7062;
500;130819;169636;161458;143192;183838;134662;1841;10761;34676;12705;10141;20289;8603;7931;
600;178685;243762;204853;260390;103551;251268;2262;25540;44563;14270;12176;24349;9714;11365;
700;7777230;323523;862273;410148;1201658;265722;2532;14502;46844;13168;14144;24962;12363;12736;
800;564398;6064045;684527;476619;380294;861467;2662;15520;165833;314844;18946;66887;16780;29662;
900;7344983;1039241;1528196;1220458;818026;841967;3028;16823;57226;11484;17641;25641;14213;19359;
1000;364550;627696;3498064;556863;234900;521950;3318;17233;42415;12160;17392;29030;15028;13521;
1100;285227;657107;506913;444592;272359;625180;3918;20797;75667;21076;23769;45261;19309;4974025;
1200;426637;1004054;631741;727456;350783;6828987;3984;22580;74815;18718;16911;47115;17978;25848;
1300;648590;1203880;636151;792629;319390;886385;4259;22413;66914;16443;21553;42958;20651;20989;
1400;5602896;2120575;2330138;1264780;446218;3478543;4593;52700;87190;17655;20459;58396;22507;30645;
1500;655964;1280223;1468200;1067256;343432;6577715;5352;27232;225107;45791;52476;137648;68960;45917;
1600;1874567;5688455;1199056;2973717;521035;3417825;5577;1871824;99033;52986;34319;82433;31235;43518;
1700;3431205;3528912;3090538;3659051;4122747;1814445;5857;31373;141025;34279;51499;100495;33402;42186;
1800;1638008;2098125;5605991;1718521;821531;2383560;6372;35447;157214;34974;43743;94696;31793;52714;
1900;2181041;2448842;5922673;4075224;1113089;4904254;17928;52787;1201972;1161971;84523;235108;91491;94164;
2000;4237674;6019712;3094330;2601204;2503463;4200380;8273;35526;817095;43031;225431;124689;40914;53446;
2100;3308841;3571119;7855985;4972541;1268259;3777463;7396;46659;199749;44680;52635;122577;210393;60958;
2200;2738623;8573299;6358732;4518814;2190835;7628682;7491;41352;181427;46364;53281;153033;44450;62558;
2300;4801074;4760497;8104988;6719839;2804807;4316202;7932;42997;186022;66521;63507;414271;49169;1935919;
2400;3491492;8310147;3332683;8016416;2640571;7926907;42166;96122;547065;46744;80028;193583;48236;98460;
2500;6214574;8971734;6568906;7018421;1952701;10014473;8658;62947;411035;160490;80789;232917;52901;194342;
2600;5046567;9508729;6108047;6543320;5971695;5459909;8469;44312;145511;61951;54174;141144;35545;220505;
2700;5433318;9558372;6200239;15723065;6284513;9368039;9391;147966;1283829;63416;153562;375438;94559;275328;
2800;8108507;14170971;14547064;9117490;5084919;11503731;159199;214480;587354;487380;250579;360980;316647;550170;
2900;8400527;9134048;14375570;10084620;3580708;9601519;9848;290396;527685;93189;72983;736909;73265;94917;
3000;6727096;12101850;10019933;9048923;2595536;10539912;10272;48949;270727;77263;73611;203888;72687;102390;
3100;12483249;7238528;11754788;10479364;5916026;8800364;10571;78952;259261;61359;78766;200971;72386;96107;
3200;12277768;12466876;12000180;12540880;4205025;13151135;12348;58919;328094;83419;83610;292548;79222;257141;
3300;8807672;11827679;11661127;9625133;7886174;11326271;11432;302258;424333;239822;89347;275989;207505;163743;
3400;11644871;14594514;11958395;14046309;4820898;12038601;14611;81905;310101;72103;84011;905758;74830;116421;
3500;12776556;17575213;10918991;17573405;6903965;11592777;12250;67054;548488;100164;345424;249236;89399;105281;
3600;11194853;15851486;15457872;10135494;6918251;16630792;13080;65423;354683;134381;83356;269975;128926;128901;
3700;11397683;19611861;11619195;17546772;9350882;19432073;12639;122637;351860;83640;97592;327736;197132;109909;
3800;12707357;17095267;12314678;20376609;7255588;13986650;15332;66340;350481;92174;106251;214103;95740;92980;
3900;14146684;20428036;14459558;17298531;8415222;14842969;13418;68568;296800;55824;2938608;242814;714426;513258;
4000;11180165;19065056;14240592;15542229;3886766;17023627;13814;68371;336124;94797;101001;264083;95153;134788;
4100;12123087;19705339;18507242;19451432;9386522;18776713;14044;90198;422604;196532;244024;537824;109526;217205;
