100;61028;76638;76559;63788;33628;792;3286;9931;42536;10322;11193;23045;5655;7611;
200;242134;308206;309290;257747;137879;1592;6486;16531;114480;23558;23801;52083;14019;17592;
300;543184;696624;699806;582745;318205;2392;9686;23131;209800;39073;37909;82774;22344;24999;
400;964300;1239672;1248159;1046556;568316;3192;12886;29731;327768;52947;52985;117247;28911;38496;
500;1505372;1942162;1954722;1645339;901846;3992;16086;36331;465872;68522;66807;148796;36261;39585;
600;2166460;2797434;2814107;2363188;1299925;4792;19286;42931;627808;81637;83893;185549;45354;55044;
700;2947504;3793392;3816504;3195238;1728281;5592;22486;49531;810432;100532;97163;220823;53103;61095;
800;3848598;4958182;4964449;4156458;2266661;6392;25686;56131;1013144;112332;115346;255694;61194;81690;
900;4869706;6285600;6315795;5306715;2897487;7192;28886;62731;1235896;132768;133022;290826;67548;92712;
1000;6010802;7778496;7815257;6563795;3628834;7992;32086;69331;1478752;148915;150599;330594;75078;88515;
1100;7271866;9387988;9454496;7937376;4322203;8792;35286;75931;1744824;161440;165112;366363;83301;102219;
1200;8653056;11189346;11262680;9459421;5190859;9592;38486;82531;2032024;180768;182782;407486;91587;125847;
1300;10154176;13126650;13194984;11066301;6076362;10392;41686;89131;2339344;192090;198090;446283;100482;129945;
1400;11775308;15229786;15322285;12840167;7063389;11192;44886;95731;2666672;209871;216638;486280;110637;132564;
1500;13516408;17473872;17605524;14782348;8081441;11992;48086;102331;3014112;230521;235697;527211;118671;139167;
1600;15377472;19895424;20019511;16796880;9233980;12792;51286;108931;3381496;251828;248899;564848;128910;186564;
1700;17358486;22420498;22597821;18956379;10311498;13592;54486;115531;3768856;269459;268904;606484;137826;174168;
1800;19459590;25084854;25272006;21169291;11415315;14392;57686;122131;4176400;289845;291807;647693;147777;209361;
1900;21680606;27983424;28209308;23663169;12814405;15192;60886;128731;4603872;296459;318808;684161;155466;182334;
2000;24021674;30925090;31192415;26111100;13967267;15992;64086;135331;5051512;341178;324121;726807;164646;207489;
2100;26482774;34129986;34420955;28864111;15497614;16792;67286;141931;5521288;336070;331987;764758;172566;222648;
2200;29063850;37456872;37783179;31682336;17005266;17592;70486;148531;6013056;354008;356622;803977;179520;230727;
2300;31764920;40972690;41288950;34602155;18679892;18392;73686;155131;6525000;370691;378505;849904;188343;225048;
2400;34586086;44686092;45061657;37838080;20546006;19192;76886;161731;7056856;391279;407674;891606;196074;286911;
2500;37527086;48459198;48856709;41005922;22212948;19992;80086;168331;7608880;407737;413174;934937;203532;275109;
2600;40588168;52414966;52839872;44332040;24029099;20792;83286;174931;8180896;428357;439660;981150;214245;275538;
2700;43769268;56524884;56967331;47791946;25913675;21592;86486;181531;8772856;459084;452424;1021948;223404;294249;
2800;47070356;60722460;61176695;51277407;27678282;22392;89686;188131;9384952;466232;482831;1061495;232983;297798;
2900;50491456;65179126;65685725;55121012;29808644;23192;92886;194731;10017016;477163;496251;1100575;242667;294054;
3000;54032394;69644844;70146133;58792267;31596320;23992;96086;201331;10669232;499746;498804;1145680;254178;314151;
3100;57693550;74374188;74960879;62859432;33762603;24792;99286;207931;11341432;517701;521111;1193012;262854;318543;
3200;61474690;79311718;79953134;67083128;36150413;25592;102486;214531;12033400;548684;544043;1233603;274113;425226;
3300;65375744;84357702;84983249;71271456;38477176;26392;105686;221131;12745432;546963;555529;1275868;282621;361797;
3400;69396872;89524518;90186056;75576139;40777963;27192;108886;227731;13477520;583502;572369;1318950;292032;361554;
3500;73537942;94903450;95570103;80070884;43311412;27992;112086;234331;14229704;582761;587689;1363612;303837;356919;
3600;77799106;100451502;101138534;84812041;45955701;28792;115286;240931;15002008;605082;603363;1398422;311589;429849;
3700;82180136;106111494;106803723;89537587;48548820;29592;118486;247531;15794112;620391;621594;1441402;320727;380007;
3800;86681204;111813100;112582605;94435037;50891512;30392;121686;254131;16606352;656715;641793;1491344;329130;401841;
3900;91302296;117761712;118604023;99484992;53565721;31192;124886;260731;17438656;660561;670564;1528725;339381;392076;
4000;96043470;123918120;124781210;104682287;56460352;31992;128086;267331;18291032;748748;726911;1574217;348603;464718;
4100;100904594;130405918;131260755;110151585;59925588;32792;131286;273931;19163728;700384;740157;1609082;359148;598095;
