100;3923;9458;6774;6951
200;5750;15591;12289;13404
300;7717;25560;23338;22287
400;9627;34613;28289;35313
500;11468;40799;38530;35392
600;13218;49456;45195;41128
700;21877;49232;49093;43143
800;17419;57903;49731;48924
900;19278;62779;54109;55580
1000;26907;71925;52367;58277
1100;22418;78287;66021;62116
1200;24632;72726;67570;65223
1300;25535;83258;72923;99500
1400;28275;82655;81572;74896
1500;29729;81851;74697;78278
1600;33184;79879;66088;79897
1700;32000;101808;80535;85175
1800;35656;94289;73339;68172
1900;31708;84740;77561;81830
2000;34699;91014;79130;81372
2100;4976127;119065;105930;103578
2200;41178;118734;104545;106987
2300;52286;120904;115921;103354
2400;41777;128814;130967;113496
2500;47082;131544;120503;117469
2600;48532;133239;124076;117974
2700;55303;133675;122141;121099
2800;51435;143510;127956;124168
2900;54589;143493;128368;129989
3000;51257;129694;109332;117193
3100;54306;130293;105261;114195
3200;54609;131898;122047;5072588
3300;59290;147647;134734;116291
3400;59923;144162;136221;133489
3500;60225;173427;144173;135070
3600;64815;156981;135158;130193
3700;62937;160767;123361;123966
3800;68996;206847;128215;132818
3900;66452;147046;131405;141886
4000;69620;173525;147189;146674
4100;75824;184545;151643;146928
