100;792;792;792;792
200;1592;1592;1592;1592
300;2392;2392;2392;2392
400;3192;3192;3192;3192
500;3992;3992;3992;3992
600;4792;4792;4792;4792
700;5592;5592;5592;5592
800;6392;6392;6392;6392
900;7192;7192;7192;7192
1000;7992;7992;7992;7992
1100;8792;8792;8792;8792
1200;9592;9592;9592;9592
1300;10392;10392;10392;10392
1400;11192;11192;11192;11192
1500;11992;11992;11992;11992
1600;12792;12792;12792;12792
1700;13592;13592;13592;13592
1800;14392;14392;14392;14392
1900;15192;15192;15192;15192
2000;15992;15992;15992;15992
2100;16792;16792;16792;16792
2200;17592;17592;17592;17592
2300;18392;18392;18392;18392
2400;19192;19192;19192;19192
2500;19992;19992;19992;19992
2600;20792;20792;20792;20792
2700;21592;21592;21592;21592
2800;22392;22392;22392;22392
2900;23192;23192;23192;23192
3000;23992;23992;23992;23992
3100;24792;24792;24792;24792
3200;25592;25592;25592;25592
3300;26392;26392;26392;26392
3400;27192;27192;27192;27192
3500;27992;27992;27992;27992
3600;28792;28792;28792;28792
3700;29592;29592;29592;29592
3800;30392;30392;30392;30392
3900;31192;31192;31192;31192
4000;31992;31992;31992;31992
4100;32792;32792;32792;32792
