100;33203;40156;1974;495
200;139851;156596;4021;995
300;325226;363017;6170;1495
400;595669;649202;8404;1995
500;911128;1032984;10451;2495
600;1295301;1476861;12600;2995
700;1742510;1981785;14834;3495
800;2256393;2604927;16881;3995
900;2920896;3418129;19030;4495
1000;3675516;4194645;21264;4995
1100;4480830;5087084;23311;5495
1200;5364310;6048849;25460;5995
1300;6242214;7065201;27694;6495
1400;7171594;8139948;29741;6995
1500;8070357;9359841;31890;7495
1600;9186924;10551123;34124;7995
1700;10335485;12120655;36171;8495
1800;11650136;13576236;38320;8995
1900;12952819;15062927;40554;9495
2000;14295639;16928854;42601;9995
2100;15824388;18727835;44750;10495
2200;17336103;20758951;46984;10995
2300;18980605;22747363;49031;11495
2400;20655180;24868783;51180;11995
2500;22363381;27016434;53414;12495
2600;24006659;29380546;55461;12995
2700;26022339;31536901;57610;13495
2800;28051245;33594299;59844;13995
2900;30298754;36009683;61891;14495
3000;32433417;38451672;64040;14995
3100;34645855;41057252;66274;15495
3200;37041672;43676704;68321;15995
3300;39232418;46289322;70470;16495
3400;41548777;48966914;72704;16995
3500;43888919;51865132;74751;17495
3600;46495536;54671941;76900;17995
3700;49190910;57647832;79134;18495
3800;51557572;61006818;81181;18995
3900;54502489;64412112;83330;19495
4000;57313072;67812918;85564;19995
4100;60086850;71419067;87543;20495
