50;15506;18997;19149;15861;8116;392;1686;6631;16414;5147;4794;10206;2496;3642;
100;61028;76638;76559;63788;33628;792;3286;9931;42536;10322;11193;23045;5655;7611;
150;136588;173529;174416;146260;78265;1192;4886;13231;75346;17032;17302;37032;9573;11325;
200;242134;308206;309290;257747;137879;1592;6486;16531;114480;23558;23801;52083;14019;17592;
250;377656;483273;480156;401576;219848;1992;8086;19831;158682;30907;30795;67359;17415;17184;
300;543184;696624;699806;582745;318205;2392;9686;23131;209800;39073;37909;82774;22344;24999;
