100;10164;12806;27325;38650
200;22812;26404;92444;147300
300;37318;43158;195559;325950
400;51468;58829;334425;574600
500;64629;75994;511544;893250
600;80705;94828;726659;1281900
700;96889;112544;977525;1740550
800;113570;132582;1266644;2269200
900;126723;146258;1593759;2867850
1000;145285;164824;1956625;3536500
1100;158251;180952;2357744;4275150
1200;173536;203923;2796859;5083800
1300;187305;217119;3271725;5962450
1400;207586;239085;3784844;6911100
1500;228140;259133;4335959;7929750
1600;243320;296669;4922825;9018400
1700;265155;308266;5547944;10177050
1800;279406;322751;6211059;11405700
1900;288796;334780;6909925;12704350
2000;313804;349297;7647044;14073000
2100;324555;372910;8422159;15511650
2200;341947;403300;9233025;17020300
2300;353478;403508;10082144;18598950
2400;380362;440355;10969259;20247600
2500;399839;456451;11892125;21966250
2600;423999;474014;12853244;23754900
2700;434585;510700;13852359;25613550
2800;459139;523467;14887225;27542200
2900;472649;534537;15960344;29540850
3000;490028;574030;17071459;31609500
3100;509160;582181;18218325;33748150
3200;527665;587750;19403444;35956800
3300;547364;630768;20626559;38235450
3400;575684;630817;21885425;40584100
3500;580506;688332;23182544;43002750
3600;620397;665548;24517659;45491400
3700;615795;696110;25888525;48050050
3800;631124;713218;27297644;50678700
3900;653181;724695;28744759;53377350
4000;682784;760064;30227625;56146000
4100;704759;775029;31748610;58984650
