100;61448;80244;81843;68512;43845;792;61921;9931;42536;11630;11688;25494;10233;11307;
200;243104;317008;320360;270295;162818;1592;66411;16531;114480;27194;27097;58578;25758;28365;
300;545006;722568;735639;620217;391713;2392;69611;23131;209800;43399;43128;93905;42651;44928;
400;966876;1273656;1293715;1095216;664604;3192;72811;29731;327768;62677;56298;132069;61188;76044;
500;1508614;1988518;2046916;1716231;1033188;3992;76011;36331;465872;73371;73277;172404;80718;84819;
600;2170876;2854884;2934886;2458856;1462700;4792;79211;42931;627808;91762;92365;213135;101823;112479;
700;2952604;3863754;3956022;3325178;1927640;5592;82411;49531;810432;107349;106712;255789;117636;123066;
800;3854686;5087332;5236679;4419813;2632586;6392;85611;56131;1013144;130183;120236;297105;140952;181230;
900;4877080;6424068;6612716;5559244;3289813;7192;88811;62731;1235896;144026;139605;340650;164442;210144;
1000;6018862;7945704;8155736;6891046;4102590;7992;92011;69331;1478752;164445;152789;384811;180204;202797;
1100;7280408;9647860;9935908;8385918;5058507;8792;95211;75931;1744824;182741;170721;429900;202539;228345;
1200;8663126;11472498;11791516;9943966;5993123;9592;98411;82531;2032024;209465;193573;476210;220296;262788;
1300;10165232;13452018;13854536;11716604;6998238;10392;101611;89131;2339344;217021;207311;520735;248574;335745;
1400;11787978;15649360;16120218;13674909;8252182;11192;104811;95731;2666672;245906;225517;566798;269481;312387;
1500;13529468;17998080;18556488;15742319;9566697;11992;108011;102331;3014112;260647;244437;612432;289443;325710;
1600;15391432;20478660;21095135;17885575;10886482;12792;111211;108931;3381496;279779;260153;656973;318771;480564;
1700;17373856;23066146;23774122;20119040;12140834;13592;114411;115531;3768856;304737;291064;704273;339237;406827;
1800;19475294;25839264;26614241;22545690;13552810;14392;117611;122131;4176400;337572;307366;753456;363090;528624;
1900;21697862;28801602;29644959;25135626;15132576;15192;120811;128731;4603872;332719;321956;801108;381237;456972;
2000;24039502;31805578;32768284;27735702;16461983;15992;124011;135331;5051512;364324;337822;848178;410031;490275;
2100;26502002;35080026;36062465;30466426;18189394;16792;127211;141931;5521288;383050;361785;897064;437775;573789;
2200;29084416;38459400;39612953;33484714;19845762;17592;130411;148531;6013056;400838;383857;947085;466737;544656;
2300;31786076;42087274;43308162;36611868;21837880;18392;133611;155131;6525000;416341;391899;996358;498135;577239;
2400;34607536;45835242;47190507;39879789;23801931;19192;136811;161731;7056856;429988;414824;1044763;505824;637590;
2500;37550600;49766298;51280736;43441939;25916398;19992;140011;168331;7608880;459401;428398;1094325;524685;666423;
2600;40613460;53876536;55505930;46998831;28170214;20792;143211;174931;8180896;466133;465214;1143588;553521;806733;
2700;43795826;58077696;59822971;50659279;30313309;21592;146411;181531;8772856;492736;469964;1195308;570828;715446;
2800;47097404;62437860;64300908;54454688;32538582;22392;149611;188131;9384952;529172;491699;1246990;602877;737706;
2900;50520750;67074100;69121878;58565943;35177737;23192;152811;194731;10017016;523540;538570;1296487;620940;777159;
3000;54063016;71819904;74020508;62726387;37758990;23992;156011;201331;10669232;561181;569963;1347347;649377;783522;
3100;57723964;76699278;78927536;66737159;40350358;24792;159211;207931;11341432;584378;541929;1399163;676386;1121079;
3200;61506334;81782410;84300304;71480896;43150707;25592;162411;214531;12033400;597231;562671;1449317;705600;1216422;
3300;65407678;86936910;89595279;75894116;45784932;26392;165611;221131;12745432;600251;588213;1498137;731307;952905;
3400;69431266;92207136;94998401;80424124;48378714;27192;168811;227731;13477520;654688;611046;1550564;749727;965892;
3500;73572978;97779250;100733509;85388641;51459512;27992;172011;234331;14229704;677324;618299;1598734;771927;953802;
3600;77835498;103288650;106445173;89985459;53994287;28792;175211;240931;15002008;689113;681576;1651419;814602;1157142;
3700;82218818;109184844;112526276;95299170;57256645;29592;178411;247531;15794112;683070;661799;1701422;830775;1038777;
3800;86719988;115166740;118576165;100320397;60393492;30392;181611;254131;16606352;750547;691923;1751503;865365;1045218;
3900;91342064;121311018;125027776;105951684;63622088;31192;184811;260731;17438656;736265;710119;1802982;900837;1075206;
4000;96084994;127713624;131655423;111619512;67214280;31992;188011;267331;18291032;806764;759086;1854984;911592;1207026;
4100;100947808;134190730;138264400;117203565;70649222;32792;191211;273931;19163728;762587;790697;1907230;943494;2376375;
