100;6090;7079;7197;6560;3806;5909;4143;9249;5636;2067;2181;2890;1784;1814;
200;22573;27571;24522;25577;13386;21215;5323;16282;12777;4742;5127;6704;4517;4871;
300;57109;64669;60956;52692;31653;56317;5437;27430;19761;7613;7757;13883;7848;7960;
400;88563;124220;104967;102734;57423;98750;6106;41919;26867;10681;10637;14425;12423;17728;
500;150247;203060;176489;173832;83773;154804;7185;48333;41559;13255;16806;20463;16313;16880;
600;195921;271514;269196;229687;94220;397702;7257;47473;46120;15769;17163;23822;22244;23657;
700;237800;711897;2202073;1226940;141749;245781;8196;4348898;54431;26699;20707;30510;28108;30489;
800;984444;2539522;1382676;4905176;242912;1271559;8842;62233;195160;24482;26291;131651;202606;39960;
900;474922;1409114;428663;722036;227176;430961;9806;76168;86825;27103;27691;46426;43492;44884;
1000;585282;3275470;677092;1312487;333464;516918;10579;67523;96067;36168;47411;75270;68334;301107;
1100;661580;1011471;4823270;1290438;1750772;711939;10837;538328;276903;38587;34862;373480;53566;60240;
1200;1581214;2047839;1754072;1682586;491619;1528026;9814;68420;123331;39183;45858;72817;60161;70384;
1300;1573452;1482056;2939521;1705405;611511;1761468;18635;101757;148853;39068;62462;89078;90602;111585;
1400;974000;4943740;1772213;1825447;739334;4430385;14382;112248;229674;48087;67785;109468;81382;97805;
1500;1121377;1669762;6188889;1529555;814127;1628565;15230;88095;164599;49160;123829;113701;94401;99398;
1600;5014424;2207957;1734048;6109473;1786712;2151339;23280;72702;118548;41916;51749;84023;83560;105368;
1700;856741;4533729;2454128;1664444;657588;5832471;17535;99345;153789;54988;53893;115420;106851;116526;
1800;1360226;4669373;6746600;3415256;2837414;2041696;17631;92913;180914;82399;70220;108792;98200;122973;
1900;917109;6014417;1641886;3161823;1145307;6431324;22487;125504;211188;94991;93972;139719;120674;162727;
2000;2015124;6292330;3236603;7040855;1487441;6873865;38983;114479;547322;92114;106964;150147;135562;238554;
2100;4123257;7116332;3306072;5715976;1672870;7643961;18314;119063;1451045;333648;224256;470370;175987;172543;
2200;2604850;5705399;7474508;3289169;1269140;6358132;17235;123256;591360;84651;97960;148002;160091;736214;
2300;2539077;6948294;6525440;4144622;2649628;5575624;20008;174571;243310;106504;137545;185743;169649;177650;
2400;7855923;5350777;8447179;9446376;2498249;4998994;20160;124939;232446;107809;139155;185041;180710;208463;
2500;7776132;9226843;6678785;9953563;2447161;6115209;18693;125014;395195;489641;127440;158582;173786;190544;
2600;4130166;10427599;7538198;5048083;5646058;3840230;24604;127184;274348;121995;4598534;190868;319046;206242;
2700;3527421;12188040;6672154;9272566;2586032;8638538;22153;136890;294791;152842;205445;211114;193839;233323;
2800;9683542;8113813;9248468;9969045;3248939;8191152;26755;136322;352454;190499;180426;223124;205508;282988;
2900;11625814;8830228;12272496;8423783;6094943;8328432;24405;144077;275501;138942;141524;212243;203160;208337;
3000;8205691;10128890;10014631;10410033;2773692;10101373;27488;178567;322098;162334;156461;210050;219324;235834;
3100;9854481;15137678;9716293;10798009;3598900;9770032;24323;155140;360157;176039;4956854;240971;232693;290013;
3200;9518882;11526737;11108903;11457610;10272440;11124672;26485;159020;560621;624653;179297;355211;285699;335751;
3300;6217094;17377514;13181695;10708060;6649064;13314963;25764;359386;499203;540427;467397;469069;997815;555181;
3400;11358466;16498847;12819255;11162989;4367875;14246984;24370;143883;831559;1210165;212764;327884;339432;477386;
3500;8375241;18595299;11312231;12879299;7025928;13882877;41880;966386;399864;204304;316685;805116;262818;1141600;
3600;10414461;13992930;16358249;12851579;7598123;11866096;24597;145723;351117;187191;180598;240537;261451;301072;
3700;15516904;13924269;20971348;18105055;11013261;8791724;27536;194974;520865;206088;219285;300997;276674;4439922;
3800;10956708;19016296;14679388;17697703;8100151;13064808;28751;182927;400194;249444;234857;295406;427071;4543830;
3900;11422201;19346398;20703590;14684502;11186042;14536731;28895;178500;687595;257036;243604;352120;881592;499143;
4000;18049884;19325811;19802484;19497861;9543448;15397760;26287;3129724;576655;269862;389678;363084;347450;484054;
4100;12320127;24714171;14568050;17753327;9205960;19126685;24938;147061;354046;203592;208236;829134;530206;546840;
