100;1839;2041;1224;1216
200;3702;4681;2201;2101
300;5533;7318;3749;3596
400;8245;14695;5073;5531
500;10262;12587;6180;5184
600;10842;16351;7544;7460
700;13427;17928;9635;8139
800;13240;15575;6750;6229
900;13254;19408;9012;11759
1000;20518;27841;11508;66873
1100;30042;41621;13356;35680
1200;25770;36732;14294;17745
1300;72274;41035;17564;16001
1400;31931;47202;20057;19709
1500;33711;50812;26545;24482
1600;39688;55714;22316;21899
1700;39084;65135;24207;23557
1800;39662;73335;23498;26650
1900;42601;89131;23433;25208
2000;41874;77767;27585;25318
2100;47991;95208;66387;27226
2200;50825;104415;41383;45413
2300;68535;118917;35654;30133
2400;61466;121721;31942;31697
2500;43859;124243;40747;31501
2600;47322;134763;40291;34126
2700;59632;141851;31411;26078
2800;51224;130651;35342;27238
2900;50835;151906;30669;27853
3000;61187;161308;42304;41030
3100;66628;160887;52114;44201
3200;76088;4500242;44721;46345
3300;77917;188931;47324;45880
3400;88243;193165;46030;46149
3500;91263;214416;56340;58761
3600;87820;210402;50999;51067
3700;115918;222343;59159;56054
3800;88490;201478;36499;47804
3900;103562;280071;77680;55789
4000;78097;223343;56497;52161
4100;100924;246659;49956;39284
