100;6096;9687;4311;2484
200;13578;25170;9630;5892
300;21210;41643;15267;9492
400;27819;59802;21603;13686
500;35841;78135;27714;17886
600;44892;93612;33951;22086
700;53229;114654;40293;26286
800;59787;133560;46998;31080
900;68745;163014;53835;35880
1000;78858;180288;60777;40680
1100;86745;198024;67488;45480
1200;94716;221598;74325;50280
1300;105123;245214;81267;55080
1400;113871;264903;87978;59880
1500;121233;295596;94815;64680
1600;131094;320493;101757;69480
1700;139023;344781;108468;74280
1800;149247;361515;115605;79380
1900;155949;385647;123147;84780
2000;165066;410031;130458;90180
2100;175338;438573;137895;95580
2200;184140;458673;145437;100980
2300;194097;481902;152748;106380
2400;201387;505236;160185;111780
2500;210294;535437;167727;117180
2600;217689;552450;175038;122580
2700;227184;574461;182475;127980
2800;236847;607917;190017;133380
2900;246258;630054;197328;138780
3000;255333;650217;204765;144180
3100;266172;682203;212307;149580
3200;275856;713391;219618;154980
3300;286149;737838;227055;160380
3400;297009;753192;234597;165780
3500;308310;785325;241908;171180
3600;317532;818508;249345;176580
3700;328602;836970;256887;181980
3800;337887;857343;264198;187380
3900;348768;888258;271635;192780
4000;357234;914427;279177;198180
4100;365952;938580;286404;203580
