100;7347;4397;5869;4180
200;16199;20689;14700;13545
300;38623;38817;30011;26793
400;78674;105653;68473;66800
500;135825;162511;1261969;137566
600;223890;195730;110354;94527
700;4015059;403700;284037;272840
800;512713;504428;410589;350951
900;591231;649754;449401;443256
1000;5265908;825802;543910;550125
1100;925384;787921;586477;608727
1200;6075938;1159299;789322;800561
1300;6343920;1329054;954938;913692
1400;1412507;6448122;1027291;1057454
1500;1578661;7283750;1230478;1241854
1600;5712316;1915275;1185853;985371
1700;7178005;1710936;1313053;6413173
1800;1968061;7398363;1814077;1404926
1900;7344598;2737369;6511986;2022372
2000;2506718;8484337;1495208;6158980
2100;2694560;7624437;2242323;7274361
2200;3662419;8620569;7263504;3492978
2300;6431748;3554876;8298727;2065624
2400;9856121;7297752;2528867;7266824
2500;9261647;9825203;2907241;8122503
2600;8773729;4449393;7561288;8098734
2700;4408263;10068583;9282438;8630567
2800;11738262;8760212;8604306;3408291
2900;9784770;15048067;4810045;7043570
3000;10421641;10646270;9311801;10361419
3100;10838053;11194861;9893949;9741538
3200;15738636;11434690;8889742;4178634
3300;16073954;17057757;6964316;10127895
3400;15562987;11779843;10046913;9248779
3500;12896371;17725494;11004410;14397121
3600;16181179;19899734;10798435;16368613
3700;12851794;18747026;10462551;16925735
3800;15997862;18874829;15375986;13221750
3900;20504277;21373629;16334786;16149042
4000;18509595;26205567;14440111;19475175
4100;15315141;20393260;18006617;15332151
