50;15654;19447;18654;14833;9391;392;60216;6631;16414;5289;4933;10549;4281;3705;
100;61448;80244;81843;68512;43845;792;61921;9931;42536;11630;11688;25494;10233;11307;
150;137256;179403;182351;152536;94908;1192;63521;13231;75346;18810;19566;41399;17385;17079;
200;243104;317008;320360;270295;162818;1592;66411;16531;114480;27194;27097;58578;25758;28365;
250;378970;499779;507901;433240;266615;1992;68011;19831;158682;34555;32164;75834;31800;33480;
300;545006;722568;735639;620217;391713;2392;69611;23131;209800;43399;43128;93905;42651;44928;
