100;494;3951;728;704
200;831;4465;1381;1356
300;1175;5077;2041;2000
400;1628;6402;2800;2810
500;2015;6907;4060;3417
600;2408;7529;6304;3913
700;2671;8323;4774;4658
800;3033;9423;5518;5379
900;3642;9238;6662;6103
1000;3928;10625;6765;6773
1100;4104;10437;9062;8995
1200;4670;11136;8363;8126
1300;5043;11656;8617;12191
1400;5473;12119;9444;10051
1500;5719;12896;9999;11869
1600;6223;13550;10900;10625
1700;7220;14156;11342;11327
1800;6866;14730;11879;12056
1900;7243;17733;12874;12558
2000;9424;16082;13913;17445
2100;8212;17615;13866;14186
2200;8275;17953;22401;14715
2300;8718;18056;16215;15455
2400;9234;18434;16029;16026
2500;10466;19059;20414;18276
2600;9722;22384;17348;20581
2700;10057;24186;23133;18019
2800;10505;20875;21129;19072
2900;11054;23270;21312;20092
3000;11381;21864;20103;23250
3100;12299;23660;20552;20572
3200;12107;24087;21731;21376
3300;12495;73074;25839;30753
3400;14970;26467;29134;22639
3500;13340;23957;23296;24236
3600;12779;24268;23398;24426
3700;14011;24782;29966;29680
3800;14237;29812;25566;25033
3900;14665;25997;26471;27772
4000;15066;26552;27082;26347
4100;14512;29070;25840;5365764
